Entry	Reviewed	Entry Name	Protein names	Length	InterPro
Q96J65	reviewed	MRP9_HUMAN	ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9)	1359	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR027417;
Q96J66	reviewed	MRP8_HUMAN	ATP-binding cassette sub-family C member 11 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 8)	1382	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR027417;
Q96J92	reviewed	WNK4_HUMAN	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	1243	IPR056865;IPR011009;IPR024678;IPR000719;IPR008271;IPR050588;
Q96J94	reviewed	PIWL1_HUMAN	Piwi-like protein 1 (EC 3.1.26.-)	861	IPR014811;IPR031320;IPR003100;IPR036085;IPR003165;IPR012337;IPR036397;
Q96JA1	reviewed	LRIG1_HUMAN	Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1)	1093	IPR000483;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR001611;IPR025875;IPR003591;IPR050467;IPR032675;IPR000372;
Q96JB1	reviewed	DYH8_HUMAN	Dynein axonemal heavy chain 8 (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	4490	IPR003593;IPR035699;IPR035706;IPR041658;IPR042219;IPR026983;IPR041589;IPR056759;IPR042222;IPR043157;IPR041466;IPR041228;IPR043160;IPR024743;IPR024317;IPR004273;IPR013602;IPR013594;IPR042228;IPR027417;
Q96JB2	reviewed	COG3_HUMAN	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Vesicle-docking protein SEC34 homolog) (p94)	828	IPR048685;IPR048320;IPR007265;
Q96JC1	reviewed	VPS39_HUMAN	Vam6/Vps39-like protein (TRAP1-like protein) (hVam6p)	886	IPR000547;IPR001180;IPR032914;IPR019452;IPR019453;
Q96JE7	reviewed	SC16B_HUMAN	Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B)	1060	IPR024340;IPR024298;
Q96JE9	reviewed	MAP6_HUMAN	Microtubule-associated protein 6 (MAP-6) (Stable tubule-only polypeptide) (STOP)	813	IPR007882;
Q96JG6	reviewed	VPS50_HUMAN	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)	964	IPR019514;IPR040047;IPR019515;
Q96JG9	reviewed	ZN469_HUMAN	Zinc finger protein 469	3953	IPR039270;IPR036236;IPR013087;
Q96JH7	reviewed	VCIP1_HUMAN	Deubiquitinating protein VCPIP1 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135) (VCP/p47 complex-interacting 135-kDa protein)	1222	IPR048857;IPR003323;IPR029071;IPR039087;IPR045827;
Q96JH8	reviewed	RADIL_HUMAN	Ras-associating and dilute domain-containing protein	1075	IPR037983;IPR002710;IPR000253;IPR001478;IPR036034;IPR000159;IPR008984;IPR029071;IPR052072;
Q96JI7	reviewed	SPTCS_HUMAN	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)	2443	IPR028103;IPR028107;
Q96JK2	reviewed	DCAF5_HUMAN	DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22)	942	IPR045151;IPR015943;IPR036322;IPR001680;
Q96JK9	reviewed	MAML3_HUMAN	Mastermind-like protein 3 (Mam-3)	1138	IPR046369;IPR048455;IPR046370;IPR019082;
Q96JM2	reviewed	ZN462_HUMAN	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	2506	IPR050688;IPR059059;IPR059058;IPR036236;IPR013087;IPR057831;IPR057832;IPR057830;
Q96JM3	reviewed	CHAP1_HUMAN	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	812	IPR039330;IPR036236;IPR013087;
Q96JN2	reviewed	CC136_HUMAN	Coiled-coil domain-containing protein 136 (Nasopharyngeal carcinoma-associated gene 6 protein)	1154	IPR051176;
Q96JN8	reviewed	NEUL4_HUMAN	Neuralized-like protein 4	1562	IPR043136;IPR013320;IPR037962;IPR006573;
Q96JP2	reviewed	MY15B_HUMAN	Unconventional myosin-XVB (Myosin XVBP) (Unconventional myosin-15B)	3096	IPR019749;IPR014352;IPR035963;IPR019748;IPR000299;IPR036961;IPR059004;IPR035489;IPR001609;IPR041795;IPR000857;IPR038185;IPR027417;IPR011993;IPR036028;IPR001452;IPR051567;
Q96JP9	reviewed	CDHR1_HUMAN	Cadherin-related family member 1 (Photoreceptor cadherin) (prCAD) (Protocadherin-21)	859	IPR039808;IPR002126;IPR015919;IPR020894;
Q96JQ0	reviewed	PCD16_HUMAN	Protocadherin-16 (Cadherin-19) (Cadherin-25) (Fibroblast cadherin-1) (Protein dachsous homolog 1)	3298	IPR050971;IPR002126;IPR015919;IPR020894;
Q96JS3	reviewed	PGBD1_HUMAN	PiggyBac transposable element-derived protein 1 (Cerebral protein 4)	809	IPR029526;IPR052638;IPR003309;IPR038269;IPR001190;
Q96K76	reviewed	UBP47_HUMAN	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	1375	IPR038765;IPR050164;IPR001394;IPR029071;IPR028889;IPR045578;IPR018200;
Q96K83	reviewed	ZN521_HUMAN	Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3)	1311	IPR036236;IPR013087;
Q96KG7	reviewed	MEG10_HUMAN	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)	1140	IPR000742;IPR013032;IPR013111;IPR057138;IPR011489;IPR002049;IPR052485;
Q96KG9	reviewed	SCYL1_HUMAN	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	808	IPR011989;IPR016024;IPR051177;IPR011009;IPR000719;
Q96KM6	reviewed	Z512B_HUMAN	Zinc finger protein 512B	892	IPR052274;IPR048408;IPR036236;IPR013087;
Q96KN7	reviewed	RPGR1_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1 (RPGR-interacting protein 1)	1286	IPR021656;IPR000008;IPR035892;IPR041091;IPR031139;
Q96KP1	reviewed	EXOC2_HUMAN	Exocyst complex component 2 (Exocyst complex component Sec5)	924	IPR029175;IPR039481;IPR013783;IPR014756;IPR002909;
Q96KQ4	reviewed	ASPP1_HUMAN	Apoptosis-stimulating of p53 protein 1 (Protein phosphatase 1 regulatory subunit 13B)	1090	IPR002110;IPR036770;IPR047163;IPR028319;IPR048942;IPR036028;IPR001452;IPR029071;
Q96KQ7	reviewed	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	1210	IPR002110;IPR036770;IPR043550;IPR047762;IPR007728;IPR001214;IPR046341;IPR038034;
Q96KV7	reviewed	WDR90_HUMAN	WD repeat-containing protein 90	1748	IPR055440;IPR055441;IPR007714;IPR011047;IPR015943;IPR019775;IPR036322;IPR001680;IPR050630;
Q96L42	reviewed	KCNH8_HUMAN	Voltage-gated delayed rectifier potassium channel KCNH8 (ELK1) (hElk-1) (Ether-a-go-go-like potassium channel 3) (ELK channel 3) (ELK3) (Potassium voltage-gated channel subfamily H member 8) (Voltage-gated potassium channel subunit Kv12.1)	1107	IPR000595;IPR018490;IPR005821;IPR003938;IPR003950;IPR050818;IPR001610;IPR000014;IPR000700;IPR035965;IPR014710;
Q96L73	reviewed	NSD1_HUMAN	Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)	2696	IPR006560;IPR041306;IPR055198;IPR059153;IPR047426;IPR047428;IPR047429;IPR047430;IPR047432;IPR055197;IPR003616;IPR000313;IPR047423;IPR050777;IPR001214;IPR046341;IPR047433;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
Q96L91	reviewed	EP400_HUMAN	E1A-binding protein p400 (EC 3.6.4.-) (CAG repeat protein 32) (Domino homolog) (hDomino) (Trinucleotide repeat-containing gene 12 protein) (p400 kDa SWI2/SNF2-related protein)	3159	IPR031575;IPR014001;IPR001650;IPR014012;IPR027417;IPR001005;IPR038718;IPR049730;IPR000330;
Q96L93	reviewed	KI16B_HUMAN	Kinesin-like protein KIF16B (Sorting nexin-23)	1317	IPR000253;IPR019821;IPR001752;IPR036961;IPR027417;IPR001683;IPR036871;IPR008984;
Q96L96	reviewed	ALPK3_HUMAN	Alpha-protein kinase 3 (EC 2.7.11.1) (Muscle alpha-protein kinase)	1705	IPR004166;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR011009;
Q96M86	reviewed	DNHD1_HUMAN	Dynein heavy chain domain-containing protein 1 (Coiled-coil domain-containing protein 35) (Dynein heavy chain domain 1-like protein)	4753	IPR035699;IPR026983;IPR042222;IPR041466;IPR041228;IPR024743;IPR024317;IPR004273;IPR013602;IPR042228;IPR027417;
Q96MI9	reviewed	CBPC4_HUMAN	Cytosolic carboxypeptidase 4 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein-like 1) (Protein deglutamylase CCP4)	1112	IPR011989;IPR016024;IPR033852;IPR050821;IPR040626;IPR000834;
Q96MN2	reviewed	NALP4_HUMAN	NACHT, LRR and PYD domains-containing protein 4 (Cancer/testis antigen 58) (CT58) (PAAD and NACHT-containing protein 2) (PAN2) (PYRIN and NACHT-containing protein 2) (PYRIN-containing APAF1-like protein 4) (PYPAF4) (Ribonuclease inhibitor 2)	994	IPR004020;IPR011029;IPR001611;IPR032675;IPR007111;IPR041267;IPR050637;IPR041075;IPR027417;
Q96MR6	reviewed	CFA57_HUMAN	Cilia- and flagella-associated protein 57 (WD repeat-containing protein 65)	1250	IPR055442;IPR052993;IPR011047;IPR015943;IPR001680;
Q96MS0	reviewed	ROBO3_HUMAN	Roundabout homolog 3 (Roundabout-like protein 3)	1386	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR051170;
Q96MT3	reviewed	PRIC1_HUMAN	Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1)	831	IPR033726;IPR033727;IPR010442;IPR033723;IPR047120;IPR001781;
Q96MT7	reviewed	CFA44_HUMAN	Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52)	1854	IPR055439;IPR015943;IPR019775;IPR036322;IPR001680;
Q96N23	reviewed	CFA54_HUMAN	Cilia- and flagella-associated protein 54	3096	IPR027912;
Q96N67	reviewed	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	2140	IPR037808;IPR027007;IPR035892;IPR026791;IPR021816;IPR043161;IPR043162;IPR027357;IPR046769;IPR046770;IPR046773;
Q96NH3	reviewed	BROMI_HUMAN	Protein broad-minded (TBC1 domain family member 32)	1257	IPR055392;IPR032735;IPR055391;IPR039156;IPR035969;
Q96NR3	reviewed	PTHD1_HUMAN	Patched domain-containing protein 1	888	IPR051697;IPR003392;IPR000731;
Q96NW4	reviewed	ANR27_HUMAN	Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein)	1050	IPR002110;IPR036770;IPR051248;IPR003123;IPR037191;
Q96NW7	reviewed	LRRC7_HUMAN	Leucine-rich repeat-containing protein 7 (Densin-180) (Densin) (Protein LAP1)	1537	IPR001611;IPR003591;IPR032675;IPR055414;IPR001478;IPR036034;IPR050614;
Q96P20	reviewed	NLRP3_HUMAN	NACHT, LRR and PYD domains-containing protein 3 (EC 3.6.4.-) (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	1036	IPR004020;IPR011029;IPR001611;IPR032675;IPR029495;IPR007111;IPR041267;IPR050637;IPR041075;IPR027417;
Q96P44	reviewed	COLA1_HUMAN	Collagen alpha-1(XXI) chain	957	IPR008160;IPR050938;IPR013320;IPR048287;IPR002035;IPR036465;
Q96P47	reviewed	AGAP3_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)	875	IPR002110;IPR036770;IPR051282;IPR037278;IPR001164;IPR038508;IPR027417;IPR011993;IPR001849;IPR001806;
Q96P48	reviewed	ARAP1_HUMAN	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)	1450	IPR052227;IPR037278;IPR001164;IPR038508;IPR011993;IPR001849;IPR000159;IPR008936;IPR037858;IPR000198;IPR001660;IPR013761;
Q96P70	reviewed	IPO9_HUMAN	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	1041	IPR011989;IPR016024;IPR056840;IPR001494;IPR058669;
Q96PC5	reviewed	MIA2_HUMAN	Melanoma inhibitory activity protein 2 (MIA protein 2) (CTAGE family member 5 ER export factor) (Cutaneous T-cell lymphoma-associated antigen 5) (Meningioma-expressed antigen 6/11)	1412	IPR051500;IPR035555;IPR036028;IPR001452;
Q96PE1	reviewed	AGRA2_HUMAN	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)	1338	IPR051963;IPR000483;IPR058808;IPR057244;IPR046338;IPR017981;IPR036445;IPR001879;IPR000832;IPR017983;IPR000203;IPR007110;IPR013783;IPR003599;IPR001611;IPR003591;IPR032675;
Q96PE2	reviewed	ARHGH_HUMAN	Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4)	2063	IPR039919;IPR035899;IPR000219;IPR011993;IPR015943;IPR036322;
Q96PE3	reviewed	INP4A_HUMAN	Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Type I inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)	977	IPR000008;IPR035892;IPR039034;
Q96PN6	reviewed	ADCYA_HUMAN	Adenylate cyclase type 10 (EC 4.6.1.1) (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase) (hsAC) (sAC) (Testicular soluble adenylyl cyclase)	1610	IPR001054;IPR016577;IPR029787;IPR027417;
Q96PN7	reviewed	TREF1_HUMAN	Transcriptional-regulating factor 1 (Breast cancer anti-estrogen resistance 2) (Transcriptional-regulating protein 132) (Zinc finger protein rapa) (Zinc finger transcription factor TReP-132)	1200	IPR000949;IPR009057;IPR001005;IPR017884;IPR051066;IPR036236;IPR013087;
Q96PQ0	reviewed	SORC2_HUMAN	VPS10 domain-containing receptor SorCS2 [Cleaved into: SorCS2 122 kDa chain; SorCS2 104 kDa chain; SorCS2 18 kDa chain]	1159	IPR013783;IPR022409;IPR000601;IPR035986;IPR031777;IPR031778;IPR006581;IPR050310;IPR015943;
Q96PU4	reviewed	UHRF2_HUMAN	E3 ubiquitin-protein ligase UHRF2 (EC 2.3.2.27) (Np95/ICBP90-like RING finger protein) (Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2)	802	IPR047467;IPR015947;IPR047466;IPR036987;IPR003105;IPR021991;IPR047407;IPR000626;IPR029071;IPR047468;IPR045134;IPR011011;IPR001965;IPR019787;IPR001841;IPR013083;IPR017907;
Q96PU5	reviewed	NED4L_HUMAN	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	975	IPR000008;IPR035892;IPR024928;IPR050409;IPR000569;IPR035983;IPR001202;IPR036020;
Q96PV0	reviewed	SYGP1_HUMAN	Ras/Rap GTPase-activating protein SynGAP (Neuronal RasGAP) (Synaptic Ras GTPase-activating protein 1) (Synaptic Ras-GAP 1)	1343	IPR000008;IPR035892;IPR021887;IPR011993;IPR001849;IPR039360;IPR023152;IPR001936;IPR008936;IPR057606;IPR037779;
Q96PV7	reviewed	F193B_HUMAN	Protein FAM193B	902	IPR029717;IPR031802;
Q96PX9	reviewed	PKH4B_HUMAN	Pleckstrin homology domain-containing family G member 4B (PH domain-containing family G member 4B)	1627	IPR035899;IPR000219;IPR011993;IPR001849;IPR052231;IPR055251;
Q96PY5	reviewed	FMNL2_HUMAN	Formin-like protein 2 (Formin homology 2 domain-containing protein 2)	1086	IPR011989;IPR016024;IPR014767;IPR015425;IPR042201;IPR010472;IPR043592;IPR014768;IPR010473;
Q96PY6	reviewed	NEK1_HUMAN	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	1258	IPR011009;IPR051131;IPR000719;IPR017441;IPR008271;
Q96PZ7	reviewed	CSMD1_HUMAN	CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)	3564	IPR000859;IPR051277;IPR035914;IPR035976;IPR000436;
Q96Q04	reviewed	LMTK3_HUMAN	Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3)	1460	IPR011009;IPR000719;IPR017441;IPR001245;IPR008266;
Q96Q05	reviewed	TPPC9_HUMAN	Trafficking protein particle complex subunit 9 (NIK- and IKBKB-binding protein) (Tularik gene 1 protein)	1148	IPR058565;IPR058567;IPR058568;IPR058564;IPR013935;IPR058563;
Q96Q06	reviewed	PLIN4_HUMAN	Perilipin-4 (Adipocyte protein S3-12)	1371	IPR004279;
Q96Q15	reviewed	SMG1_HUMAN	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)	3661	IPR011989;IPR016024;IPR050517;IPR003152;IPR011009;IPR000403;IPR036940;IPR018936;IPR014009;IPR031559;IPR035175;IPR039414;
Q96Q42	reviewed	ALS2_HUMAN	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)	1657	IPR051984;IPR057248;IPR035899;IPR000219;IPR059093;IPR003409;IPR011993;IPR009091;IPR000408;IPR003123;IPR037191;
Q96Q89	reviewed	KI20B_HUMAN	Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1)	1820	IPR047149;IPR019821;IPR001752;IPR036961;IPR027417;
Q96QB1	reviewed	RHG07_HUMAN	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12)	1528	IPR008936;IPR000198;IPR001660;IPR013761;IPR023393;IPR002913;
Q96QC0	reviewed	PP1RA_HUMAN	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (p99)	940	IPR003617;IPR035441;IPR017923;IPR000571;IPR036855;
Q96QE3	reviewed	ATAD5_HUMAN	ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	1844	IPR003593;IPR003959;IPR027417;
Q96QP1	reviewed	ALPK1_HUMAN	Alpha-protein kinase 1 (EC 2.7.11.1) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)	1244	IPR004166;IPR043529;IPR011009;
Q96QT4	reviewed	TRPM7_HUMAN	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7) [Cleaved into: TRPM7 kinase, cleaved form (M7CK); TRPM7 channel, cleaved form]	1865	IPR004166;IPR011009;IPR050927;IPR057366;IPR029601;IPR041491;IPR032415;IPR037162;
Q96QT6	reviewed	PHF12_HUMAN	PHD finger protein 12 (PHD factor 1) (Pf1)	1004	IPR000253;IPR042163;IPR031966;IPR038098;IPR008984;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
Q96QU1	reviewed	PCD15_HUMAN	Protocadherin-15	1955	IPR050971;IPR002126;IPR015919;IPR020894;IPR041149;IPR030718;IPR056989;
Q96QU8	reviewed	XPO6_HUMAN	Exportin-6 (Exp6) (Ran-binding protein 20)	1125	IPR011989;IPR016024;IPR013598;IPR001494;IPR040016;
Q96QZ7	reviewed	MAGI1_HUMAN	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)	1491	IPR008145;IPR008144;IPR020590;IPR027417;IPR001478;IPR036034;IPR001202;IPR036020;
Q96R06	reviewed	SPAG5_HUMAN	Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126)	1193	IPR028728;
Q96RD9	reviewed	FCRL5_HUMAN	Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1) (Fc receptor homolog 5) (FcRH5) (Immune receptor translocation-associated protein 2) (CD antigen CD307e)	977	IPR007110;IPR036179;IPR013783;IPR050488;IPR003599;IPR003598;
Q96RG2	reviewed	PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	1323	IPR011009;IPR000014;IPR035965;IPR000719;IPR017441;IPR008271;
Q96RK0	reviewed	CIC_HUMAN	Protein capicua homolog	2517	IPR052412;IPR032147;IPR058607;IPR009071;IPR036910;IPR058606;
Q96RL7	reviewed	VP13A_HUMAN	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A)	3174	IPR026847;IPR056748;IPR056747;IPR026854;IPR009543;
Q96RN1	reviewed	S26A8_HUMAN	Testis anion transporter 1 (Anion exchange transporter) (Solute carrier family 26 member 8)	970	IPR011547;IPR001902;IPR002645;IPR036513;
Q96RS0	reviewed	TGS1_HUMAN	Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N(2) methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT)	853	IPR019012;IPR029063;
Q96RT1	reviewed	ERBIN_HUMAN	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	1412	IPR001611;IPR003591;IPR032675;IPR055414;IPR001478;IPR036034;IPR050614;
Q96RT7	reviewed	GCP6_HUMAN	Gamma-tubulin complex component 6 (GCP-6)	1819	IPR007259;IPR045818;IPR040457;IPR042241;IPR041470;
Q96RT8	reviewed	GCP5_HUMAN	Gamma-tubulin complex component 5 (GCP-5)	1024	IPR007259;IPR059169;IPR040457;IPR042241;IPR041470;
Q96RU2	reviewed	UBP28_HUMAN	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	1077	IPR038765;IPR050164;IPR001394;IPR009060;IPR054109;IPR028889;IPR054108;IPR018200;
Q96RW7	reviewed	HMCN1_HUMAN	Hemicentin-1 (Fibulin-6) (FIBL-6)	5635	IPR026823;IPR050958;IPR000742;IPR001881;IPR000152;IPR018097;IPR006605;IPR056475;IPR009017;IPR009030;IPR056861;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR013106;IPR049883;IPR000884;IPR036383;IPR036465;
Q96RY5	reviewed	CRML_HUMAN	Protein cramped-like (Cramped chromatin regulator homolog 1) (Hematological and neurological expressed 1-like protein)	1269	IPR055315;IPR001005;IPR017884;
Q96RY7	reviewed	IF140_HUMAN	Intraflagellar transport protein 140 homolog (WD and tetratricopeptide repeats protein 2)	1462	IPR056154;IPR056155;IPR056168;IPR056156;IPR015943;IPR036322;IPR001680;
Q96S38	reviewed	KS6C1_HUMAN	Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)	1066	IPR051866;IPR011009;IPR007330;IPR036181;IPR000719;IPR001683;IPR036871;IPR042132;IPR035053;
Q96SB3	reviewed	NEB2_HUMAN	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	817	IPR040645;IPR043446;IPR001478;IPR036034;
Q96SB8	reviewed	SMC6_HUMAN	Structural maintenance of chromosomes protein 6 (SMC protein 6) (SMC-6) (hSMC6)	1091	IPR027417;IPR003395;
Q96SN8	reviewed	CK5P2_HUMAN	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	1893	IPR042791;IPR056273;IPR012943;
Q96ST2	reviewed	IWS1_HUMAN	Protein IWS1 homolog (IWS1-like protein)	819	IPR051037;IPR035441;IPR017923;
Q96ST3	reviewed	SIN3A_HUMAN	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	1273	IPR013194;IPR003822;IPR036600;IPR039774;IPR031693;
Q96T21	reviewed	SEBP2_HUMAN	Selenocysteine insertion sequence-binding protein 2 (SECIS-binding protein 2)	854	IPR029064;IPR004038;IPR040051;
Q96T23	reviewed	RSF1_HUMAN	Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex)	1441	IPR028938;IPR028942;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
Q96T37	reviewed	RBM15_HUMAN	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	977	IPR012677;IPR035979;IPR034470;IPR034472;IPR034473;IPR000504;IPR016194;IPR012921;IPR010912;
Q96T58	reviewed	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	3664	IPR049095;IPR049094;IPR049093;IPR012677;IPR035979;IPR000504;IPR034172;IPR034173;IPR034174;IPR034175;IPR016194;IPR012921;IPR010912;
Q96T76	reviewed	MMS19_HUMAN	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	1030	IPR011989;IPR016024;IPR039920;IPR024687;IPR029240;
Q99062	reviewed	CSF3R_HUMAN	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	836	IPR003961;IPR036116;IPR003529;IPR036179;IPR013783;IPR010457;IPR052672;
